id,make,model,year,price,body_style,hybrid,mpg,reliability_score,tech_score
1,Honda,CR-V,2019,19500,SUV,False,28,4.5,3.0
2,Honda,CR-V,2020,21500,SUV,False,28,4.6,3.5
3,Honda,CR-V,2021,23500,SUV,False,28,4.7,4.0
4,Honda,CR-V Hybrid,2020,24500,SUV,True,38,4.6,3.5
5,Toyota,RAV4,2019,20000,SUV,False,26,4.5,3.2
6,Toyota,RAV4,2020,22000,SUV,False,26,4.6,3.7
7,Toyota,RAV4,2021,24000,SUV,False,27,4.7,4.2
8,Toyota,RAV4 Hybrid,2020,25500,SUV,True,40,4.7,3.8
9,Mazda,CX-5,2019,18500,SUV,False,25,4.4,3.5
10,Mazda,CX-5,2020,20500,SUV,False,25,4.5,4.0
11,Mazda,CX-5,2021,22500,SUV,False,26,4.6,4.5
12,Subaru,Forester,2019,19000,SUV,False,26,4.3,3.0
13,Subaru,Forester,2020,21000,SUV,False,26,4.4,3.5
14,Subaru,Forester,2021,23000,SUV,False,27,4.5,4.0
15,Nissan,Rogue,2019,18000,SUV,False,26,3.8,3.2
16,Nissan,Rogue,2020,20000,SUV,False,26,3.9,3.7
17,Nissan,Rogue,2021,22000,SUV,False,27,4.0,4.2
18,Hyundai,Tucson,2019,17500,SUV,False,25,4.0,3.3
19,Hyundai,Tucson,2020,19500,SUV,False,25,4.1,3.8
20,Hyundai,Tucson Hybrid,2021,24000,SUV,True,37,4.2,4.2
21,Kia,Sportage,2019,17000,SUV,False,24,4.0,3.0
22,Kia,Sportage,2020,19000,SUV,False,24,4.1,3.5
23,Kia,Sportage,2021,21000,SUV,False,25,4.2,4.0

